,open,close,high,low,volume
54,42.3,42.2,43.05,42.0,0
55,41.8,41.25,42.45,40.8,0
56,41.8,41.4,41.8,41.15,0
57,41.25,42.2,41.55,40.8,0
58,41.65,42.8,42.45,41.35,0
59,42.3,42.2,43.05,42.0,0
60,41.8,41.25,42.45,40.8,0
61,41.8,41.4,41.8,41.15,0
62,41.25,42.2,41.55,40.8,0
63,41.65,42.8,42.45,41.35,0
64,42.3,46.8,43.05,42.0,0
65,42.7,42.2,46.95,42.65,0
66,41.8,41.25,42.45,40.8,0
67,41.8,41.4,41.8,41.15,0
68,41.25,42.2,41.55,40.8,0
69,41.65,42.8,42.45,41.35,0
70,42.3,46.8,43.05,42.0,0
71,42.7,42.2,46.95,42.65,0
72,41.8,41.25,42.45,40.8,0
73,41.8,41.4,41.8,41.15,0
74,41.25,42.2,41.55,40.8,0
75,41.65,42.8,42.45,41.35,0
76,42.3,46.8,43.05,42.0,0
77,42.7,42.2,46.95,42.65,0
78,41.8,41.25,42.45,40.8,0
79,41.8,41.4,41.8,41.15,0
80,41.25,42.2,41.55,40.8,0
81,41.65,42.8,42.45,41.35,0
82,42.3,46.8,43.05,42.0,0
83,42.7,42.2,46.95,42.65,0
84,41.8,41.25,42.45,40.8,0
85,41.8,41.4,41.8,41.15,0
86,41.25,42.2,41.55,40.8,0
87,41.65,42.8,42.45,41.35,0
88,42.3,46.8,43.05,42.0,0
89,42.7,42.2,46.95,42.65,0
90,41.8,47.5,42.45,40.8,0
91,42.3,41.25,48.0,42.0,0
92,41.8,41.4,41.8,41.15,0
93,41.25,42.2,41.55,40.8,0
94,41.65,42.8,42.45,41.35,0
95,42.3,46.8,43.05,42.0,0
96,42.7,47.5,46.95,42.65,0
97,46.05,42.2,48.0,45.85,0
98,41.8,47.5,42.45,40.8,0
99,42.3,41.25,48.0,42.0,0
100,41.8,41.4,41.8,41.15,0
101,41.25,42.2,41.55,40.8,0
102,41.65,42.8,42.45,41.35,0
103,42.3,46.8,43.05,42.0,0
104,42.7,47.5,46.95,42.65,0
105,46.05,42.2,48.0,45.85,0
106,41.8,47.5,42.45,40.8,0
107,42.3,41.25,48.0,42.0,0
108,41.8,41.4,41.8,41.15,0
